epoch,train_loss,valid_loss,valid_dsc,lr
1,0.393283,0.491404,0.743299,0.0003
2,0.252037,0.478498,0.757341,0.0003
3,0.248612,0.478113,0.742825,0.0003
4,0.244146,0.479432,0.744078,0.0003
5,0.219652,0.488467,0.767511,0.0003
6,0.216395,0.428723,0.756563,0.0003
7,0.202147,0.470392,0.781243,0.0003
8,0.204591,0.363379,0.772854,0.0003
9,0.184084,0.451582,0.785488,0.0003
10,0.179407,0.396906,0.786087,0.0003
11,0.17132,0.489315,0.786222,0.0003
12,0.168291,0.443285,0.788606,0.0003
13,0.155938,0.442284,0.796298,0.0003
14,0.157255,0.432657,0.79542,0.0003
15,0.152362,0.433824,0.793735,0.0003
16,0.136414,0.442121,0.768001,0.0003
17,0.125557,0.401438,0.803036,0.0003
18,0.115742,0.434579,0.773473,0.0003
19,0.108713,0.365044,0.803761,0.0003
20,0.097317,0.320931,0.799826,0.0003
