epoch,train_loss,valid_loss,valid_dsc,lr
1,0.392023,0.487662,0.742163,0.0003
2,0.260879,0.477459,0.758058,0.0003
3,0.235985,0.466727,0.762262,0.0003
4,0.235365,0.488394,0.770282,0.0003
5,0.215191,0.464509,0.762016,0.0003
6,0.205507,0.474018,0.763098,0.0003
7,0.197206,0.45886,0.774384,0.0003
8,0.193353,0.474765,0.772415,0.0003
9,0.192994,0.345431,0.76531,0.0003
10,0.186246,0.392515,0.775057,0.0003
11,0.188131,0.453853,0.780788,0.0003
12,0.170795,0.476032,0.786789,0.0003
13,0.162599,0.504879,0.796268,0.0003
14,0.165707,0.456787,0.788842,0.0003
15,0.142206,0.451105,0.778756,0.0003
16,0.131371,0.420855,0.797246,0.0003
17,0.124283,0.465851,0.771515,0.0003
18,0.117242,0.423837,0.792414,0.0003
19,0.110189,0.281286,0.799174,0.0003
20,0.105139,0.369645,0.785264,0.0003
