epoch,train_loss,valid_loss,valid_dsc,lr
1,0.323477,0.319163,0.749819,0.0003
2,0.19133,0.341111,0.732346,0.0003
3,0.1738,0.302632,0.773482,0.0003
4,0.161761,0.259311,0.775171,0.0003
5,0.135316,0.284938,0.782614,0.0003
6,0.119594,0.260913,0.764067,0.0003
7,0.106675,0.244193,0.802586,0.0003
8,0.093346,0.248113,0.803848,0.0003
9,0.086139,0.24579,0.803682,0.0003
10,0.082748,0.24666,0.805028,0.0003
11,0.07833,0.227771,0.809221,0.0003
12,0.07925,0.264636,0.802093,0.0003
13,0.072585,0.230904,0.811898,0.0003
14,0.067531,0.238713,0.807667,0.0003
15,0.068695,0.222476,0.810059,0.0003
16,0.061665,0.224125,0.812218,0.0003
17,0.064758,0.231438,0.810063,0.0003
18,0.064043,0.214806,0.900005,0.0003
19,0.058041,0.231408,0.905182,0.0003
20,0.061867,0.228062,0.811722,0.0003
