epoch,train_loss,valid_loss,valid_dsc,lr
1,0.406331,0.492032,0.752556,0.0003
2,0.252556,0.49444,0.676588,0.0003
3,0.232992,0.479823,0.766385,0.0003
4,0.229421,0.471223,0.754671,0.0003
5,0.213801,0.459689,0.769292,0.0003
6,0.205757,0.454183,0.78121,0.0003
7,0.202914,0.466725,0.785479,0.0003
8,0.187375,0.526332,0.701747,0.0003
9,0.180221,0.471857,0.760849,0.0003
10,0.165809,0.444033,0.775458,0.0003
11,0.159584,0.471902,0.790351,0.0003
12,0.146273,0.363692,0.797672,0.0003
13,0.153379,0.404821,0.780623,0.0003
14,0.136805,0.430583,0.760021,0.0003
15,0.121756,0.343545,0.787863,0.0003
16,0.116272,0.34865,0.78779,0.0003
17,0.107943,0.399947,0.80274,0.0003
18,0.105909,0.367203,0.792556,0.0003
19,0.112403,0.401811,0.79103,0.0003
20,0.098567,0.424978,0.798585,0.0003
