epoch,train_loss,valid_loss,valid_dsc,lr
1,0.807578,0.899036,0.3174,0.0003
2,0.652034,0.802947,0.478643,0.0003
3,0.410628,0.655809,0.792253,0.0003
4,0.247349,0.547657,0.797373,0.0003
5,0.180014,0.469966,0.798221,0.0003
6,0.142624,0.424759,0.808743,0.0003
7,0.123476,0.401009,0.806401,0.0003
8,0.116459,0.395308,0.888151,0.0003
9,0.106025,0.373585,0.80259,0.0003
10,0.099454,0.372384,0.807575,0.0003
11,0.093564,0.357144,0.813132,0.0003
12,0.086812,0.349771,0.811766,0.0003
13,0.083194,0.34555,0.814866,0.0003
14,0.086422,0.393148,0.807355,0.0003
15,0.084748,0.355981,0.816599,0.0003
16,0.07907,0.340639,0.815962,0.0003
17,0.084126,0.324642,0.810539,0.0003
18,0.078538,0.358323,0.810617,0.0003
19,0.074913,0.32066,0.811713,0.0003
20,0.07571,0.347427,0.814026,0.0003
