epoch,train_loss,valid_loss,valid_dsc,lr
1,0.392792,0.495563,0.739837,0.0003
2,0.252243,0.475708,0.762959,0.00029815325108927063
3,0.237862,0.477105,0.770395,0.00029265847744427303
4,0.223246,0.483746,0.779113,0.0002836509786282552
5,0.232638,0.476964,0.76757,0.0002713525491562421
6,0.212351,0.468699,0.776437,0.0002560660171779821
7,0.200984,0.46215,0.783918,0.000238167787843871
8,0.203477,0.471704,0.784343,0.00021809857496093204
9,0.19244,0.460474,0.774372,0.00019635254915624216
10,0.185005,0.471051,0.787795,0.00017346516975603468
11,0.176464,0.453791,0.790846,0.00015000000000000001
12,0.173579,0.460786,0.782465,0.0001265348302439654
13,0.166688,0.452614,0.783499,0.0001036474508437579
14,0.163288,0.440179,0.790521,8.190142503906799e-05
15,0.156682,0.427717,0.790444,6.183221215612905e-05
16,0.148824,0.473595,0.782511,4.393398282201788e-05
17,0.144259,0.467005,0.791417,2.86474508437579e-05
18,0.135948,0.472517,0.781473,1.6349021371744834e-05
19,0.1302,0.459301,0.784224,7.341522555726972e-06
20,0.127353,0.44267,0.791363,1.8467489107293517e-06
