epoch,train_loss,valid_loss,valid_dsc,lr
1,0.393987,0.497574,0.741287,0.0003
2,0.256699,0.446992,0.750144,0.0003
3,0.243263,0.469077,0.757384,0.0003
4,0.228042,0.47967,0.772466,0.0003
5,0.216681,0.381677,0.752946,0.0003
6,0.207219,0.454597,0.779821,0.0003
7,0.201871,0.469626,0.775019,0.0003
8,0.203067,0.465333,0.777596,0.0003
9,0.193743,0.399291,0.779612,0.0003
10,0.179343,0.392305,0.781639,0.0003
11,0.177301,0.592508,0.525682,0.0003
12,0.173868,0.499996,0.70381,0.0003
13,0.157855,0.531439,0.760226,0.0003
14,0.153665,0.435959,0.789059,0.0003
15,0.138341,0.461692,0.782641,0.0003
16,0.12997,0.425292,0.784129,0.0003
17,0.120058,0.434108,0.797306,0.0003
18,0.118673,0.42196,0.773087,0.0003
19,0.109499,0.386174,0.794619,0.0003
20,0.10497,0.460878,0.773688,0.0003
