epoch,train_loss,valid_loss,valid_dsc,lr
1,0.454711,0.422872,0.72672,0.001
2,0.191533,0.317134,0.73918,0.0009938441702975688
3,0.149572,0.300929,0.769774,0.0009755282581475768
4,0.124914,0.261768,0.792643,0.0009455032620941839
5,0.116168,0.264293,0.78986,0.0009045084971874737
6,0.107074,0.253963,0.799487,0.0008535533905932737
7,0.097138,0.249493,0.803016,0.0007938926261462366
8,0.090594,0.233485,0.806886,0.0007269952498697733
9,0.086344,0.234692,0.80218,0.0006545084971874737
10,0.082533,0.217684,0.805354,0.0005782172325201155
11,0.079622,0.219992,0.805857,0.0005
12,0.074721,0.222571,0.80437,0.0004217827674798847
13,0.072655,0.210658,0.803662,0.00034549150281252633
14,0.068942,0.208326,0.807883,0.00027300475013022663
15,0.066561,0.199496,0.807863,0.00020610737385376348
16,0.065028,0.202154,0.8066,0.00014644660940672625
17,0.063226,0.203682,0.808669,9.549150281252631e-05
18,0.062131,0.205289,0.807717,5.4496737905816096e-05
19,0.061454,0.203773,0.809791,2.447174185242323e-05
20,0.060736,0.203908,0.809752,6.15582970243117e-06
