epoch,train_loss,valid_loss,valid_dsc,lr
1,0.392835,0.495024,0.738611,0.0003
2,0.254899,0.483161,0.760164,0.0003
3,0.248107,0.486023,0.761244,0.0003
4,0.227306,0.469308,0.776154,0.0003
5,0.20917,0.458785,0.784729,0.0003
6,0.218232,0.464474,0.771362,0.0003
7,0.205376,0.362442,0.76763,0.0003
8,0.200962,0.462402,0.774243,0.0003
9,0.191085,0.454109,0.780334,0.0003
10,0.187282,0.463716,0.783074,0.0003
11,0.180909,0.472219,0.783984,0.0003
12,0.169447,0.489995,0.78291,0.0003
13,0.164626,0.295073,0.759774,0.0003
14,0.170533,0.46708,0.771707,0.0003
15,0.145756,0.477449,0.778352,0.0003
16,0.131909,0.453433,0.775097,0.0003
17,0.122805,0.429167,0.775843,0.0003
18,0.119434,0.451562,0.783116,0.0003
19,0.113647,0.425625,0.782548,0.0003
20,0.106432,0.435084,0.775511,0.0003
